"study_ID","companion_Type","score","combo","event_Type","event_Actuator","event_Receiver","time_Seconds"
34,2,0,0,"HIT","PLAYER","PLAYER_ENEMY",7
34,2,0,0,"MISS","PLAYER","PLAYER_ENEMY",7
34,2,0,0,"HIT","PLAYER","PLAYER_ENEMY",7
34,2,0,1,"HIT_KILL","PLAYER","PLAYER_ENEMY",8
34,2,0,1,"HIT","COMPANION","COMPANION_ENEMY",8
34,2,0,1,"MISS","PLAYER","PLAYER_ENEMY",8
34,2,0,1,"HIT","COMPANION","COMPANION_ENEMY",9
34,2,6,2,"HIT_KILL","COMPANION","COMPANION_ENEMY",9
34,2,6,2,"HIT","COMPANION","COMPANION_ENEMY",10
34,2,6,2,"HIT","COMPANION","COMPANION_ENEMY",10
34,2,18,2,"HIT","PLAYER","PLAYER_ENEMY",11
34,2,18,2,"MISS","PLAYER","PLAYER_ENEMY",11
34,2,18,1,"HIT_KILL","COMPANION","COMPANION_ENEMY",11
34,2,18,1,"HIT","PLAYER","PLAYER_ENEMY",12
34,2,18,1,"HIT","PLAYER","PLAYER_ENEMY",12
34,2,18,1,"MISS","PLAYER","PLAYER_ENEMY",12
34,2,24,1,"MISS","PLAYER","PLAYER_ENEMY",13
34,2,24,1,"HIT","COMPANION","COMPANION_ENEMY",13
34,2,24,0,"MISS","PLAYER","PLAYER_ENEMY",13
34,2,24,0,"HIT","COMPANION","COMPANION_ENEMY",13
34,2,24,1,"HIT_KILL","PLAYER","PLAYER_ENEMY",14
34,2,24,2,"HIT_KILL","COMPANION","COMPANION_ENEMY",14
34,2,24,2,"MISS","PLAYER","PLAYER_ENEMY",14
34,2,24,2,"HIT","PLAYER","PLAYER_ENEMY",14
34,2,24,2,"MISS","PLAYER","PLAYER_ENEMY",14
34,2,24,2,"MISS","PLAYER","PLAYER_ENEMY",15
34,2,24,2,"MISS","COMPANION","COMPANION_ENEMY",15
34,2,24,2,"HIT","PLAYER","PLAYER_ENEMY",15
34,2,48,0,"MISS","PLAYER","PLAYER_ENEMY",16
34,2,48,0,"HIT","COMPANION","COMPANION_ENEMY",16
34,2,48,1,"HIT_KILL","PLAYER","PLAYER_ENEMY",16
34,2,48,1,"HIT","COMPANION","COMPANION_ENEMY",17
34,2,48,1,"MISS","PLAYER","PLAYER_ENEMY",17
34,2,48,1,"HIT","PLAYER","PLAYER_ENEMY",18
34,2,48,2,"HIT_KILL","COMPANION","COMPANION_ENEMY",18
34,2,48,2,"MISS","PLAYER","PLAYER_ENEMY",18
34,2,60,2,"MISS","COMPANION","COMPANION_ENEMY",18
34,2,60,2,"HIT","PLAYER","PLAYER_ENEMY",18
34,2,60,2,"HIT","COMPANION","COMPANION_ENEMY",18
34,2,60,2,"MISS","COMPANION","COMPANION_ENEMY",19
34,2,60,3,"HIT_KILL","PLAYER","PLAYER_ENEMY",19
34,2,60,3,"HIT","COMPANION","COMPANION_ENEMY",19
